Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Instagram_username,Political_party
Bill Flores,RepBillFlores,2011-01-12T00:00:00Z,237312687,male,United States of America,repbillflores,Republican Party
Bill Foster,RepBillFoster,2013-01-11T00:00:00Z,1080509366,male,United States of America,,Democratic Party
Bill Frist,bfrist,,,male,United States of America,,Republican Party
Bill Galvano,billgalvano,2009-06-03T00:00:00Z,44457848,male,United States of America,,Republican Party
Bill Haslam,billhaslam,2009-03-23T00:00:00Z,26103389,male,United States of America,,Republican Party
Bill Huizenga,RepHuizenga,2011-01-04T00:00:00Z,233949261,male,United States of America,rephuizenga,Republican Party
Bill Johnson,RepBillJohnson,2010-11-03T00:00:00Z,211530910,male,United States of America,repbilljohnson,Republican Party
Bill Keating,USRepKeating,2011-01-01T00:00:00Z,232992031,male,United States of America,,Democratic Party
Bill Lee,BillLeeTN,2019-01-14T00:00:00Z,1084924525232513025,male,United States of America,govbilllee,Republican Party
Bill Lee,GovBillLee,2019-01-14T00:00:00Z,1084924525232513025,male,United States of America,govbilllee,Republican Party
Bill Lee,BillLeeTN,2017-01-22T00:00:00Z,823248562851037185,male,United States of America,govbilllee,Republican Party
Bill Lee,GovBillLee,2017-01-22T00:00:00Z,823248562851037185,male,United States of America,govbilllee,Republican Party
Bill Nelson,senbillnelson,2009-02-11T00:00:00Z,20597460,male,United States of America,,Democratic Party
Bill Pascrell,BillPascrell,2012-03-05T00:00:00Z,515736574,male,United States of America,,Democratic Party
Bill Pascrell,PascrellforNJ,2012-03-05T00:00:00Z,515736574,male,United States of America,,Democratic Party
Bill Pascrell,BillPascrell,2009-09-15T00:00:00Z,74508260,male,United States of America,,Democratic Party
Bill Pascrell,PascrellforNJ,2009-09-15T00:00:00Z,74508260,male,United States of America,,Democratic Party
Bill Posey,CongBillPosey,2009-03-18T00:00:00Z,25086658,male,United States of America,,Republican Party
Bill Richardson,GovRichardson,2009-04-15T00:00:00Z,31428685,male,United States of America,,Democratic Party
Bill Shuster,RepBillShuster,,t2085759322,male,United States of America,,Republican Party
